ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
DDE49C6D0FDD7650,docked_bike,2020-01-09 9:58:12,2020-01-09 10:01:39,Ellis Ave & 53rd St,418,Woodlawn Ave & 55th St,248,41.7993,-87.601,41.7953,-87.5965,member
C9980BD9D87CF007,docked_bike,2020-01-14 18:59:04,2020-01-14 19:05:11,University Ave & 57th St,423,Ellis Ave & 53rd St,418,41.7915,-87.5999,41.7993,-87.601,member
62C8779223099063,docked_bike,2020-01-15 13:42:30,2020-01-15 13:45:07,Kimbark Ave & 53rd St,322,Ellis Ave & 53rd St,418,41.7996,-87.5947,41.7993,-87.601,member
4CE37DBCFF7AFD2D,docked_bike,2020-01-16 6:32:39,2020-01-16 6:37:25,Wells St & Polk St,175,Canal St & Taylor St,414,41.8726,-87.6335,41.8703,-87.6395,member
ACA1F4441A50485B,docked_bike,2020-01-23 7:40:18,2020-01-23 7:51:00,Wells St & Polk St,175,Franklin St & Lake St,164,41.8726,-87.6335,41.8858,-87.6355,member
0B6725FF48F9B35D,docked_bike,2020-01-14 13:01:32,2020-01-14 13:05:57,Racine Ave & Fullerton Ave,87,Southport Ave & Wrightwood Ave,190,41.9256,-87.6584,41.9288,-87.6639,casual
12182E4DCB26D2C7,docked_bike,2020-01-13 22:08:34,2020-01-13 22:17:52,Clinton St & Lake St,66,Wells St & Polk St,175,41.8856,-87.6418,41.8726,-87.6335,member
736D33A6EA78621E,docked_bike,2020-01-13 18:35:29,2020-01-13 18:43:15,Wells St & Polk St,175,Clinton St & Lake St,66,41.8726,-87.6335,41.8856,-87.6418,member
C32968B3D17E1981,docked_bike,2020-01-14 14:56:08,2020-01-14 15:06:40,Dodge Ave & Church St,600,Central St Metra,601,42.0483,-87.6982,42.0636,-87.6987,member
0EAF88B5059351FA,docked_bike,2020-01-07 6:33:03,2020-01-07 6:37:50,Wells St & Polk St,175,Canal St & Taylor St,414,41.8726,-87.6335,41.8703,-87.6395,member
BD77441498C8F8FB,docked_bike,2020-01-27 17:53:57,2020-01-27 18:02:00,Wells St & Polk St,175,Daley Center Plaza,81,41.8726,-87.6335,41.8842,-87.6296,member
CF585BEC5C73FE1A,docked_bike,2020-01-16 15:46:43,2020-01-16 15:57:08,Christiana Ave & Lawrence Ave,474,Kedzie Ave & Bryn Mawr Ave,494,41.9684,-87.7118,41.9824,-87.7089,member
AFC9799771341BC0,docked_bike,2020-01-02 15:50:21,2020-01-02 16:00:12,Christiana Ave & Lawrence Ave,474,Kedzie Ave & Bryn Mawr Ave,494,41.9684,-87.7118,41.9824,-87.7089,member
19F6A5459604C9F0,docked_bike,2020-01-21 15:46:20,2020-01-21 15:58:56,Christiana Ave & Lawrence Ave,474,Kedzie Ave & Bryn Mawr Ave,494,41.9684,-87.7118,41.9824,-87.7089,member
